"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.580089581E0,-1.079638004E0,-1.373610497E0,-4.166948199E-1
1.585094464E0,-4.677808285E-1,-1.832313538E0,-7.235272527E-1
1.590129864E0,7.428796291E-1,-2.263055801E0,-1.108465910E0
1.595134747E0,1.870048761E0,-2.704589844E0,-1.745983720E0
1.600139630E0,2.107903481E0,-3.154802322E0,-1.840200782E0
1.605144513E0,2.127921104E0,-3.563282967E0,-1.218296885E0
1.610149396E0,2.021518946E0,-3.748396873E0,-7.041722536E-1
1.615184796E0,1.826272964E0,-3.800070763E0,-2.098871768E-1
1.620189679E0,1.669941902E0,-3.656063080E0,1.566005498E-1
1.625194562E0,1.584300756E0,-3.446720123E0,4.019448459E-1
1.630199444E0,1.354671240E0,-3.260145187E0,2.959739864E-1
1.635204327E0,1.624187827E0,-3.222449303E0,-3.780343235E-1
1.640239728E0,1.828141809E0,-3.218637466E0,-6.355450153E-1
1.645244610E0,1.785468698E0,-3.415463448E0,-3.651317358E-1
1.650249493E0,1.494201303E0,-3.561737061E0,-6.078755856E-2
1.655254376E0,8.369243145E-1,-3.725506783E0,-3.518247902E-1
1.660259259E0,3.617333174E-1,-3.871839523E0,4.795301557E-1
1.665264142E0,1.033205867E0,-3.832582474E0,-5.108270049E-1
1.670299542E0,1.413842559E0,-3.542948723E0,4.058195949E-1
1.675304425E0,1.516733527E0,-3.406099319E0,8.661444187E-1
1.680309308E0,1.508723974E0,-3.317842484E0,4.408666193E-1
1.685314191E0,1.636091471E0,-2.886745453E0,-2.476883173E0
1.690319073E0,2.107958317E0,-2.288618088E0,-3.427375793E0
1.695354474E0,2.082456589E0,-2.157065392E0,4.333207607E0
1.700359357E0,1.458158016E0,-2.306814194E0,5.306296825E0
1.705364239E0,1.031941772E0,-2.641387939E0,4.215137959E0
1.710369122E0,5.050939322E-1,-2.717231750E0,3.417015076E0
1.715374005E0,-6.504645348E-1,-2.639770508E0,2.440288544E0
1.720409405E0,-1.291161180E0,-2.436298370E0,1.951630712E0
1.725414288E0,-1.620040298E0,-2.374341011E0,1.015653372E0
1.730419171E0,-2.486835957E0,-2.337706566E0,-3.341791034E-1
1.735424054E0,-2.910753727E0,-2.029077530E0,-1.773711085E0
1.740428937E0,-2.869568825E0,-1.852857590E0,-2.931920528E0
1.745464337E0,-2.775809765E0,-1.797110558E0,-3.624774218E0
1.750469220E0,-2.492164135E0,-1.684062004E0,-3.844901085E0
1.755474103E0,-2.347358704E0,-1.392566681E0,-3.125798464E0
1.760478985E0,-1.866869450E0,-1.226524353E0,-3.009776115E0
1.765483868E0,-1.326954365E0,-1.406502724E0,-2.867155313E0
1.770488751E0,-1.076279163E0,-1.511368752E0,-1.644525051E0
1.775493634E0,-7.452462912E-1,-1.815921783E0,-1.062684536E0
1.780529034E0,-7.872720957E-1,-2.127306938E0,-1.165888667E0
1.785533917E0,-9.313284159E-1,-2.244571686E0,-1.977891564E0
1.790538800E0,-8.391325474E-1,-2.265734673E0,-2.980637789E0
1.795543683E0,-3.347388506E-1,-2.316343307E0,-2.865458012E0
1.800579083E0,1.575982571E-2,-2.388092041E0,-1.881796002E0
1.805583966E0,-2.677109241E-1,-2.841504097E0,-7.260985374E-1
1.810588849E0,-1.964613795E0,-3.062014580E0,2.013518214E-1
1.815593732E0,-3.137875557E0,-2.583457947E0,9.965360165E-1
1.820598614E0,-3.091233253E0,-2.163523674E0,9.081976414E-1
1.825603497E0,-2.942626476E0,-1.564951897E0,5.335081816E-1
1.830638898E0,-2.844707489E0,-8.063297272E-1,7.063962221E-1
1.835643780E0,-2.543384790E0,-5.538320541E-1,7.155675888E-1
1.840648663E0,-1.678613663E0,-1.884622574E-1,3.603093028E-1
1.845653546E0,-5.035316944E-1,7.953929901E-2,2.599964738E-1
1.850658429E0,1.933336258E-2,1.217699051E-1,3.512273431E-1
1.855693829E0,7.385541201E-1,3.127365112E-1,-3.134864569E-2
1.860698712E0,1.503497720E0,2.676687241E-1,-4.155838490E-1
1.865703595E0,2.697230577E0,1.446914673E-2,-8.228036165E-1
1.870708478E0,3.558440208E0,-4.516229630E-1,-1.004779220E0
1.875713360E0,4.309383869E0,-9.823675156E-1,-7.445855141E-1
1.880748761E0,4.511817932E0,-1.476349831E0,-8.383384347E-2
1.885753644E0,4.810983181E0,-1.483719826E0,3.791527152E-1
1.890758527E0,3.572413921E0,-1.350691795E0,1.421884775E0
